Id,Name,Url Mask,SKU(Unique),Product Type,Combinations,Default category(id),Other Categories(comma seperated id),Brand Id,Price,Offer price,Price Unit,Cost of Product,Current inventory,Min Quantity to Sell,Max Quantity to Sell,Low stock level,Position,Status,SEO title,SEO keywords,Seo description,Default image,Other images,Short desc,Description
,Dabur Red Toothpaste,dabur-red-toothpaste,DABUR-RED-TP-100,standard,,5,35,,130,125,200gm,118,100,1,10,3,,A,Dabur Red Toothpaste | Ayurvedic Oral Care,"Dabur, Red, Toothpaste, Ayurvedic, Oral Care",Ayurvedic toothpaste enriched with natural herbs,dabur-red-toothpaste.jpg,,Ayurvedic toothpaste enriched with natural herbs,"<section> <h3>Dabur Red Toothpaste</h3> <p>Dabur Red Toothpaste blends traditional Ayurvedic wisdom with modern oral care to help keep teeth clean and gums healthy. Its herbal formulation provides a refreshing mouthfeel while supporting daily plaque control. Use twice a day for consistent protection and freshness.</p> <ul> <li><strong>Key herbs:</strong> Clove, mint, and other Ayurvedic extracts.</li> <li><strong>Benefits:</strong> Fresh breath, daily plaque control, gum care.</li> <li><strong>Ideal for:</strong> Everyday oral hygiene and a natural care routine.</li> </ul> <p><strong>How to use:</strong> Brush thoroughly for 2–3 minutes, morning and night, and rinse well.</p> </section>"
,Colgate Strong Teeth Toothpaste,colgate-strong-teeth-toothpaste,COLGATE-STRONG-TP-100,standard,,5,35,,20,18,38gm,17,100,1,10,3,,A,Colgate Strong Teeth Toothpaste | Cavity Protection,"Colgate, Strong Teeth, Toothpaste, Fluoride, Cavity Care",Fluoride toothpaste for strong teeth and cavity care,colgate-strong-teeth-toothpaste.jpg,,Fluoride toothpaste for strong teeth,"<section> <h3>Colgate Strong Teeth Toothpaste</h3> <p>Colgate Strong Teeth is formulated with fluoride to help strengthen enamel and provide dependable cavity protection. Its smooth paste spreads easily, delivering a clean, fresh feel with every brush. Suitable for daily use by the whole family.</p> <ul> <li><strong>Benefits:</strong> Enamel strengthening, cavity protection, fresh breath.</li> <li><strong>Texture:</strong> Smooth paste for comfortable brushing.</li> <li><strong>Routine:</strong> Twice-daily brushing for best results.</li> </ul> <p><strong>How to use:</strong> Apply a pea-sized amount and brush all surfaces of teeth for 2–3 minutes.</p> </section>"
,Colgate MaxFresh Spicy Fresh Toothpaste,colgate-maxfresh-spicy-fresh-toothpaste,COLGATE-MAXFRESH-SPICY-100,standard,,5,35,,20,18,42gm,17,100,1,10,3,,A,Colgate Maxfresh Spicy Fresh Toothpaste | Long-Lasting Freshness,"Colgate, Maxfresh, Spicy Fresh, Toothpaste, Fresh Breath",Toothpaste with spicy mint flavor for lasting freshness,colgate-maxfresh-spicy-fresh-toothpaste.jpg,,Toothpaste with spicy mint flavor for lasting freshness,"<section> <h3>Colgate Maxfresh Spicy Fresh Toothpaste</h3> <p>Colgate Maxfresh Spicy Fresh delivers an invigorating, minty kick designed to awaken your senses and freshen breath. The energizing flavor helps you start your day with confidence while supporting everyday oral hygiene.</p> <ul> <li><strong>Flavor:</strong> Spicy mint for a lively freshness.</li> <li><strong>Benefits:</strong> Breath freshness, daily plaque removal.</li> <li><strong>Use:</strong> Suitable for routine morning and night brushing.</li> </ul> <p><strong>How to use:</strong> Brush thoroughly for 2–3 minutes and rinse; repeat twice daily.</p> </section>"
,Vim Dish Wash Bar,vim-dish-wash-bar,VIM-DISH-BAR-100,standard,,4,30,,5,0,75gm,4,100,1,10,3,,A,Vim Dish Wash Bar | Tough on Grease,"Vim, Dish Wash, Bar, Grease Removal, Kitchen Cleaning",Tough grease removal with gentle care,vim-dish-wash-bar.jpg,,Tough grease removal with gentle care,"<section> <h3>Vim Dish Wash Bar</h3> <p>The Vim Dish Wash Bar helps cut through tough grease on utensils, leaving them clean and residue-free. Its compact form is easy to hold and apply, making everyday dish cleaning quick and efficient.</p> <ul> <li><strong>Benefits:</strong> Strong grease removal, quick rinsing.</li> <li><strong>Suitable for:</strong> Stainless steel, aluminum, and melamine (avoid delicate coatings).</li> <li><strong>Fragrance:</strong> Fresh, kitchen-friendly scent.</li> </ul> <p><strong>How to use:</strong> Wet scrubber, rub on bar, apply lather to utensils, and rinse thoroughly.</p> </section>"
,Comfort Fabric Conditioner,comfort-fabric-conditioner,COMFORT-FAB-CON-100,standard,,4,27,,4,0,20ml,3.5,100,1,10,3,,A,Comfort Fabric Conditioner | Softness & Freshness,"Comfort, Fabric Conditioner, Softness, Freshness, Laundry",Fabric conditioner for softness and long-lasting fragrance,comfort-fabric-conditioner.jpg,,Fabric conditioner for softness and freshness,"<section> <h3>Comfort Fabric Conditioner</h3> <p>Comfort Fabric Conditioner softens fibers to reduce stiffness and improve drape, helping clothes feel gentle against the skin. It adds a lasting, pleasant fragrance that refreshes garments between wears.</p> <ul> <li><strong>Benefits:</strong> Softness, easy ironing, long-lasting freshness.</li> <li><strong>Compatible with:</strong> Hand wash and machine wash cycles.</li> <li><strong>Care:</strong> Gentle on most everyday fabrics.</li> </ul> <p><strong>How to use:</strong> Add to final rinse as directed; do not pour directly on clothing.</p> </section>"
,Colgate Super Flexi Toothbrush (2+1),colgate-super-flexi-toothbrush-2-1,COLGATE-SUPER-FLEXI-2IN1,standard,,5,35,,40,30,pc,27,100,1,10,3,,A,Colgate Super Flexi Toothbrush 2-in-1 | Flexible Bristles for Gentle Cleaning,"Colgate, Super Flexi, Toothbrush, 2-in-1, Oral Care",Flexible toothbrush with dual cleaning action,colgate-super-flexi-toothbrush-2-1.jpg,,Flexible toothbrush with dual cleaning action,"<section> <h3>Colgate Super Flexi Toothbrush 2‑in‑1</h3> <p>The Colgate Super Flexi 2‑in‑1 toothbrush features flexible bristles and a comfortable grip to help reach and clean difficult areas. Its dual-action design supports effective plaque removal while maintaining gentle contact with gums.</p> <ul> <li><strong>Design:</strong> Flexible head and ergonomic handle.</li> <li><strong>Benefits:</strong> Targeted cleaning, everyday comfort.</li> <li><strong>Care:</strong> Replace every 3 months or after bristle wear.</li> </ul> <p><strong>How to use:</strong> Brush with gentle circular motions; pair with fluoride toothpaste for best results.</p> </section>"
,Colgate Super Flexi Toothbrush,colgate-super-flexi-toothbrush,COLGATE-SUPER-FLEXI-100,standard,,5,35,,20,15,Pc,12,100,1,10,3,,A,Colgate Super Flexi Toothbrush | Comfortable Grip & Deep Cleaning,"Colgate, Super Flexi, Toothbrush, Oral Care, Gentle Bristles",Toothbrush with flexible bristles for deep cleaning,colgate-super-flexi-toothbrush.jpg,,Toothbrush with flexible bristles for deep cleaning,"<section> <h3>Colgate Super Flexi Toothbrush</h3> <p>Colgate Super Flexi offers flexible bristles for deep cleaning along the gumline and between teeth. The lightweight handle improves control, making daily brushing comfortable and consistent.</p> <ul> <li><strong>Benefits:</strong> Gumline reach, plaque removal, comfortable grip.</li> <li><strong>Bristles:</strong> Flexible tips designed for everyday use.</li> <li><strong>Usage:</strong> Suitable for routine oral care.</li> </ul> <p><strong>How to use:</strong> Brush for 2–3 minutes, focusing on all quadrants; rinse well.</p> </section>"
,Vim Dishwash Liquid Gel,vim-dishwash-liquid-gel,VIM-DISH-LIQ-GEL-100,standard,,4,30,,58,55,225 ml,52,100,1,10,3,,A,Vim Dishwash Liquid Gel | Powerful Grease Removal,"Vim, Dishwash, Liquid Gel, Grease Removal, Kitchen Cleaning",Liquid gel for powerful grease removal,vim-dishwash-liquid-gel.jpg,,Liquid gel for powerful grease removal,"<section> <h3>Vim Dishwash Liquid Gel</h3> <p>Vim Dishwash Liquid Gel provides concentrated grease-cutting action for fast, effective sink-side cleaning. A small amount creates rich suds that lift food residues and help dishes rinse clean.</p> <ul> <li><strong>Benefits:</strong> Concentrated formula, quick degreasing.</li> <li><strong>Fragrance:</strong> Fresh, kitchen-friendly scent.</li> <li><strong>Economy:</strong> Effective in small doses.</li> </ul> <p><strong>How to use:</strong> Dilute a few drops in water or apply directly to scrubber; rinse thoroughly after washing.</p> </section>"
,Lifebuoy Total 10 Handwash,lifebuoy-total-10-handwash,LIFEBUOY-TOTAL10-HW-100,standard,,5,33,,25,0,80ml,23,100,1,10,3,,A,Lifebuoy Total 10 Handwash | Germ Protection,"Lifebuoy, Total 10, Handwash, Germ Protection, Hygiene",Handwash offering 99.9% germ protection,lifebuoy-total-10-handwash.jpg,,Handwash offering 99.9% germ protection,"<section> <h3>Lifebuoy Total 10 Handwash</h3> <p>Lifebuoy Total 10 Handwash is designed for everyday hygiene, leaving hands clean and lightly fragranced. Its lather spreads easily and rinses off without residue, supporting frequent handwashing routines.</p> <ul> <li><strong>Benefits:</strong> Daily cleanliness, fresh scent.</li> <li><strong>Texture:</strong> Smooth liquid that lathers quickly.</li> <li><strong>Suitable for:</strong> Family use and high-frequency washing.</li> </ul> <p><strong>How to use:</strong> Apply, lather for 20 seconds, scrub all surfaces, and rinse with clean water.</p> </section>"
,Lifebuoy Powder Handwash,lifebuoy-powder-handwash,LIFEBUOY-PWDR-HW-100,standard,,5,33,,10,9,9g,8.5,100,1,10,3,,A,Lifebuoy Powder Handwash | Effective Hygiene Solution,"Lifebuoy, Powder Handwash, Germ Protection, Hygiene",Powder handwash for effective daily hygiene,lifebuoy-powder-handwash.jpg,,Powder handwash for effective hygiene,"<section> <h3>Lifebuoy Powder Handwash</h3> <p>This powder handwash provides convenient hygiene where liquid dispensers are not preferred. It creates a cleansing lather that helps remove everyday dirt while leaving a fresh scent.</p> <ul> <li><strong>Benefits:</strong> Easy storage, effective cleaning, fresh fragrance.</li> <li><strong>Use case:</strong> Homes, small kitchens, and utility areas.</li> <li><strong>Care:</strong> Keep container dry and sealed between uses.</li> </ul> <p><strong>How to use:</strong> Mix a small amount with water, lather thoroughly, and rinse well.</p> </section>"
